Class,Sample_num
Unconsolidated Barren,1
Unconsolidated Barren,2
"Consolidated Barren (rocks, salt pans)",3
Annual Crops (e.g wheat),4
Annual Crops (e.g wheat),5
Annual Crops (e.g wheat),6
Annual Crops (e.g wheat),7
Annual Crops (e.g wheat),8
"Consolidated Barren (rocks, salt pans)",10
Unconsolidated Barren,11
Annual Crops (e.g wheat),12
Annual Crops (e.g wheat),13
Shrubs,14
Unconsolidated Barren,17
Shrubs,18
Mixed or Not Classified,19
Shrubs,22
Shrubs,23
Shrubs,24
"Consolidated Barren (rocks, salt pans)",25
Unconsolidated Barren,26
Unconsolidated Barren,27
"Consolidated Barren (rocks, salt pans)",28
Shrubs,29
Shrubs,30
Natural Grassland,31
Shrubs,32
Shrubs,33
Shrubs,34
Shrubs,35
Shrubs,40
Shrubs,41
Shrubs,42
Shrubs,43
Shrubs,44
Natural Wooded Land,45
Natural Wooded Land,46
Unconsolidated Barren,47
Shrubs,48
Unconsolidated Barren,49
Mixed or Not Classified,51
Shrubs,60
Shrubs,65
Shrubs,67
Unconsolidated Barren,78
"Consolidated Barren (rocks, salt pans)",82
Shrubs,85
Natural Wooded Land,97
Shrubs,104
Shrubs,107
Shrubs,113
Shrubs,116
Shrubs,118
Shrubs,120
Shrubs,134
Mixed or Not Classified,135
Shrubs,138
Shrubs,141
Mixed or Not Classified,160
Mixed or Not Classified,179
Natural Wooded Land,181
Shrubs,185
Shrubs,197
Natural Wooded Land,199
Shrubs,210
Unconsolidated Barren,213
Mixed or Not Classified,219
Shrubs,232
Shrubs,255
Shrubs,257
Natural Grassland,263
Shrubs,264
Shrubs,265
Annual Crops (e.g wheat),266
Annual Crops (e.g wheat),267
Shrubs,272
Shrubs,273
Shrubs,274
Shrubs,275
Shrubs,276
Shrubs,277
"Permanent Crops (e.g., vineyard)",278
"Permanent Crops (e.g., vineyard)",279
Shrubs,280
Shrubs,281
Shrubs,282
Unconsolidated Barren,283
Shrubs,287
Shrubs,288
Shrubs,294
Shrubs,316
Shrubs,321
"Consolidated Barren (rocks, salt pans)",346
"Consolidated Barren (rocks, salt pans)",349
"Consolidated Barren (rocks, salt pans)",351
"Consolidated Barren (rocks, salt pans)",371
Shrubs,392
Natural Wooded Land,403
"Consolidated Barren (rocks, salt pans)",440
Shrubs,441
Shrubs,491
Mixed or Not Classified,560
Shrubs,568
"Consolidated Barren (rocks, salt pans)",573
"Consolidated Barren (rocks, salt pans)",590
Shrubs,656
Mixed or Not Classified,691
Shrubs,706
"Consolidated Barren (rocks, salt pans)",738
Shrubs,759
Shrubs,762
"Consolidated Barren (rocks, salt pans)",765
"Consolidated Barren (rocks, salt pans)",798
"Consolidated Barren (rocks, salt pans)",819
Shrubs,880
Shrubs,953
Shrubs,993
Mixed or Not Classified,1029
Shrubs,1034
Shrubs,1054
Shrubs,1055
Shrubs,1056
unconsolidated Barren,1065
Shrubs,1088
Shrubs,1089
Shrubs,1090
Shrubs,1091
Annual Crops (e.g wheat),1092
Annual Crops (e.g wheat),1134
Mixed or Not Classified,1147
Shrubs,1148
Unconsolidated Barren,1149
Natural Wooded Land,1162
Mixed or Not Classified,1169
Unconsolidated Barren,1180
Annual Crops (e.g wheat),1181
Shrubs,1184
Annual Crops (e.g wheat),1224
Natural Grassland,1229
Mixed or Not Classified,1238
Natural Grassland,1248
Natural Grassland,1249
Annual Crops (e.g wheat),1250
Natural Grassland,1251
Shrubs,1253
Natural Wooded Land,1254
Natural Grassland,1255
Shrubs,1256
Shrubs,1257
Mixed or Not Classified,1258
Natural Wooded Land,1259
Shrubs,1260
Shrubs,1261
MIxed or Not Classified,1262
Natural Grassland,1272
Shrubs,1273
Shrubs,1274
Natural Wooded Land,1276
Unconsolidated Barren,1278
Natural Wooded Land,1291
Shrubs,1292
MIxed or Not Classified,1293
Unconsolidated Barren,1294
MIxed or Not Classified,1295
Shrubs,1297
Natural Grassland,1302
Built-up,1309
Built-up,1310
Built-up,1311
Built-up,1312
Annual Crops (e.g wheat),1314
Natural Grassland,1357
Annual Crops (e.g wheat),1411
Annual Crops (e.g wheat),1429
Annual Crops (e.g wheat),1470
Shrubs,1479
Shrubs,1480
Shrubs,1481
Natural Wooded Land,1482
Natural Wooded Land,1483
Built-up,1487
Built-up,1488
Annual Crops (e.g wheat),1507
Annual Crops (e.g wheat),1538
Annual Crops (e.g wheat),1585
Annual Crops (e.g wheat),1588
Annual Crops (e.g wheat),1596
Annual Crops (e.g wheat),1604
Annual Crops (e.g wheat),1619
Annual Crops (e.g wheat),1629
Annual Crops (e.g wheat),1645
Annual Crops (e.g wheat),1733
Built-up,1745
Built-up,1746
Natural Wooded Land,1799
"Consolidated Barren (rocks, salt pans)",1801
Annual Crops (e.g wheat),1834
Natural Grassland,1840
Natural Grassland,1841
Shrubs,1842
Natural Grassland,1843
Mixed or Not Classified,1847
Natural Wooded Land,1851
"Consolidated Barren (rocks, salt pans)",1852
"Consolidated Barren (rocks, salt pans)",1853
Shrubs,1894
Annual Crops (e.g wheat),1903
Mixed or Not Classified,1916
Shrubs,1919
Shrubs,1922
"Consolidated Barren (rocks, salt pans)",1937
"Consolidated Barren (rocks, salt pans)",1953
"Consolidated Barren (rocks, salt pans)",1960
Shrubs,1969
Shrubs,1970
Mixed or Not Classified,1971
Shrubs,1976
Shrubs,1978
Shrubs,1982
Shrubs,1991
Natural Wooded Land,2013
Natural Wooded Land,2021
Shrubs,2024
Shrubs,2025
Shrubs,2026
Mixed or Not Classified,2027
Mixed or Not Classified,2028
Annual Crops (e.g wheat),2029
Annual Crops (e.g wheat),2030
Annual Crops (e.g wheat),2034
Annual Crops (e.g wheat),2038
Annual Crops (e.g wheat),2043
Annual Crops (e.g wheat),2046
"Consolidated Barren (rocks, salt pans)",2047
"Consolidated Barren (rocks, salt pans)",2048
"Consolidated Barren (rocks, salt pans)",2051
Mixed or Not Classified,2055
Natural Grassland,2064
"Consolidated Barren (rocks, salt pans)",2067
"Consolidated Barren (rocks, salt pans)",2068
"Consolidated Barren (rocks, salt pans)",2069
"Consolidated Barren (rocks, salt pans)",2070
Annual Crops (e.g wheat),2072
Mixed or Not Classified,2090
Shrubs,2091
Annual Crops (e.g wheat),2094
Natural Wooded Land,2099
Natural Wooded Land,2100
Annual Crops (e.g wheat),2105
Annual Crops (e.g wheat),2107
Mixed or Not Classified,2109
Annual Crops (e.g wheat),2110
Mixed or Not Classified,2111
Annual Crops (e.g wheat),2112
Annual Crops (e.g wheat),2113
Annual Crops (e.g wheat),2114
Mixed or Not Classified,2116
Mixed or Not Classified,2119
Natural Grassland,2154
Natural Wooded Land,2168
Annual Crops (e.g wheat),2183
Annual Crops (e.g wheat),2184
Natural Wooded Land,2185
Natural Grassland,2186
Natural Wooded Land,2187
Natural Wooded Land,2191
Natural Wooded Land,2192
Annual Crops (e.g wheat),2204
Natural Wooded Land,2208
Waterbodies,2222
Waterbodies,2226
Waterbodies,2238
Waterbodies,2240
Waterbodies,2241
Waterbodies,2248
Waterbodies,2252
Waterbodies,2257
Waterbodies,2260
Waterbodies,2267
Waterbodies,2269
Waterbodies,2275
Waterbodies,2277
Waterbodies,2279
Waterbodies,2285
Waterbodies,2289
Waterbodies,2291
Waterbodies,2292
Waterbodies,2294
Waterbodies,2295
Waterbodies,2301
Waterbodies,2304
Waterbodies,2307
Waterbodies,2312
Waterbodies,2319
Waterbodies,2331
Waterbodies,2335
Waterbodies,2340
Waterbodies,2343
Waterbodies,2344
Unconsolidated Barren,2348
Unconsolidated Barren,2349
Unconsolidated Barren,2350
Shrubs,2351
Unconsolidated Barren,2352
Unconsolidated Barren,2353
Shrubs,2359
Mixed or Not Classified,2360
"Consolidated Barren (rocks, salt pans)",2373
"Consolidated Barren (rocks, salt pans)",2375
"Consolidated Barren (rocks, salt pans)",2378
"Consolidated Barren (rocks, salt pans)",2389
"Consolidated Barren (rocks, salt pans)",2392
Annual Crops (e.g wheat),2402
Annual Crops (e.g wheat),2407
Shrubs,2411
Mixed or Not Classified,2430
Shrubs,2437
Natural Wooded Land,2456
Natural Wooded Land,2468
Wetlands,2474
Shrubs,2475
Shrubs,2511
Mixed or Not Classified,2515
Shrubs,2520
Natural Wooded Land,2521
Shrubs,2535
Natural Wooded Land,2554
Shrubs,2556
Shrubs,2585
Shrubs,2605
Natural Wooded Land,2612
Shrubs,2620
Natural Wooded Land,2625
Shrubs,2641
Shrubs,2662
Shrubs,2663
Natural Wooded Land,2668
Shrubs,2683
Shrubs,2705
Shrubs,2707
Shrubs,2727
Shrubs,2745
Shrubs,2751
Shrubs,2753
Mixed or Not Classified,2783
Waterbodies,2789
Waterbodies,2794
Mixed or Not Classified,2799
Annual Crops (e.g wheat),2826
Annual Crops (e.g wheat),2827
"Permanent Crops (e.g., vineyard)",2828
Mixed or Not Classified,2841
Mixed or Not Classified,2842
Mixed or Not Classified,2843
Natural Wooded Land,2844
Natural Wooded Land,2845
Natural Wooded Land,2846
Natural Wooded Land,2847
Natural Grassland,2848
Natural Wooded Land,2849
Mixed or Not Classified,2850
Mixed or Not Classified,2851
Natural Grassland,2852
Planted Forest,2853
Mixed or Not Classified,2854
Annual Crops (e.g wheat),2855
Annual Crops (e.g wheat),2856
Annual Crops (e.g wheat),2872
Annual Crops (e.g wheat),2885
Annual Crops (e.g wheat),2937
Annual Crops (e.g wheat),2950
Annual Crops (e.g wheat),2980
Annual Crops (e.g wheat),3044
Annual Crops (e.g wheat),3078
Annual Crops (e.g wheat),3120
Annual Crops (e.g wheat),3187
Annual Crops (e.g wheat),3205
Annual Crops (e.g wheat),3248
Annual Crops (e.g wheat),3289
Annual Crops (e.g wheat),3294
Annual Crops (e.g wheat),3305
Annual Crops (e.g wheat),3331
Natural Grassland,3354
Annual Crops (e.g wheat),3363
Annual Crops (e.g wheat),3398
Annual Crops (e.g wheat),3399
Shrubs,3400
Shrubs,3401
Shrubs,3402
Shrubs,3403
Shrubs,3404
Shrubs,3405
Shrubs,3406
Shrubs,3407
Shrubs,3412
Shrubs,3413
Shrubs,3414
Shrubs,3415
Shrubs,3416
Shrubs,3420
Natural Wooded Land,3421
Shrubs,3422
Shrubs,3433
Shrubs,3434
Natural Grassland,3435
Annual Crops (e.g wheat),3436
Natural Grassland,3437
Mixed or Not Classified,3439
Built-up,3467
Built-up,3468
Natural Wooded Land,3471
Shrubs,3472
Shrubs,3477
Shrubs,3478
Natural Wooded Land,3479
Shrubs,3480
Shrubs,3481
Natural Grassland,3482
Shrubs,3483
Shrubs,3484
Shrubs,3485
Mixed or Not Classified,3486
Mixed or Not Classified,3487
Built-up,3490
Annual Crops (e.g wheat),3504
Annual Crops (e.g wheat),3516
Shrubs,3543
Mixed or Not Classified,3558
Shrubs,3559
Mixed or Not Classified,3560
Natural Grassland,3561
Shrubs,3562
Shrubs,3564
Natural Grassland,3565
Natural Grassland,3566
Natural Wooded Land,3574
Mixed or Not Classified,3575
Shrubs,3592
Shrubs,3608
Shrubs,3613
"Consolidated Barren (rocks, salt pans)",3632
Shrubs,3635
Natural Wooded Land,3642
Natural Grassland,3662
Shrubs,3665
Mixed or Not Classified,3670
Mixed or Not Classified,3699
Mixed or Not Classified,3700
Mixed or Not Classified,3701
Mixed or Not Classified,3702
Shrubs,3703
Shrubs,3704
Shrubs,3705
Unconsolidated Barren,3706
"Permanent Crops (e.g., vineyard)",3707
"Permanent Crops (e.g., vineyard)",3708
Annual Crops (e.g wheat),3734
Mixed or Not Classified,3738
Annual Crops (e.g wheat),3739
Annual Crops (e.g wheat),3740
Mixed or Not Classified,3759
Annual Crops (e.g wheat),3761
Annual Crops (e.g wheat),3766
